Player Name,Start year,End year,Position
Semaj Christon,2017,2017,G
Josh Christopher,2022,2023,G
Patrick Christopher,2015,2015,G-F
Steve Chubin,1968,1970,G
Robert Churchwell,1996,1996,G-F
Archie Clark,1967,1976,G
Carlos Clark,1984,1985,G
Dick Clark,1968,1969,G
Earl Clark,2010,2015,F
Gary Clark,2019,2022,F
Ian Clark,2014,2019,G
Keon Clark,1999,2004,F-C
Brandon Clarke,2020,2023,F
Coty Clarke,2016,2016,F
Jordan Clarkson,2015,2023,G
Gian Clavell,2018,2018,G
Victor Claver,2013,2015,F
John Clawson,1969,1969,F
Charles Claxton,1996,1996,C
Nic Claxton,2020,2023,C
Speedy Claxton,2002,2009,G
Jim Cleamons,1972,1980,G
Mateen Cleaves,2001,2006,G
Barry Clemens,1966,1976,F
Chris Clemons,2020,2020,G
